Rank,Model_ID,Input_Features,Num_Inputs,Epochs_Run,R2_Train,RMSE_Train,MAE_Train,MBE_Train,NSE_Train,R2_Val,RMSE_Val,MAE_Val,MBE_Val,NSE_Val,R2_Test,RMSE_Test,MAE_Test,MBE_Test,NSE_Test
40,M02_n_Tmin,n + Tmin,2,288,0.8165,0.8726,0.6403,-0.0081,0.8165,0.8097,0.8812,0.6481,-0.0062,0.8097,0.8207,0.8622,0.6363,0.0019,0.8207
41,M32_Tmin_RHmax_RHmin,Tmin + RHmax + RHmin,3,325,0.8203,0.8634,0.6744,0.0175,0.8203,0.8247,0.8457,0.6564,0.0064,0.8247,0.8194,0.8654,0.6684,0.003,0.8194
42,M08_Tmax_RHmin,Tmax + RHmin,2,178,0.8204,0.8632,0.6685,0.0054,0.8204,0.818,0.8619,0.6659,0.012,0.818,0.8182,0.8681,0.6613,-0.006,0.8182
43,M06_Tmax_Tmin,Tmax + Tmin,2,226,0.8161,0.8735,0.679,-0.0044,0.8161,0.8154,0.868,0.6761,0.0023,0.8154,0.8166,0.8721,0.6695,-0.0147,0.8166
44,M33_Tmin_RHmax_u,Tmin + RHmax + u,3,242,0.797,0.9179,0.6872,0.0108,0.797,0.8028,0.8971,0.6778,0.0075,0.8028,0.8097,0.8882,0.6751,-0.0052,0.8097
45,M24_n_RHmax_u,n + RHmax + u,3,281,0.8075,0.8937,0.7028,-0.0082,0.8075,0.796,0.9123,0.723,-0.0115,0.796,0.8021,0.9059,0.7088,0.0045,0.8021
46,M11_Tmin_RHmin,Tmin + RHmin,2,256,0.7982,0.915,0.713,-0.0063,0.7982,0.8023,0.8982,0.697,-0.0099,0.8023,0.7988,0.9133,0.7077,-0.0232,0.7988
47,M23_n_RHmax_RHmin,n + RHmax + RHmin,3,426,0.7703,0.9762,0.7531,0.0028,0.7703,0.7586,0.9926,0.7682,-0.0039,0.7586,0.7688,0.9791,0.7521,0.0094,0.7688
48,M10_Tmin_RHmax,Tmin + RHmax,2,193,0.7512,1.0161,0.7903,0.0157,0.7512,0.7622,0.985,0.7657,0.0048,0.7622,0.7627,0.9919,0.7757,-0.002,0.7627
49,M03_n_RHmax,n + RHmax,2,296,0.723,1.072,0.8566,-0.0074,0.723,0.7126,1.0829,0.8715,-0.0169,0.7126,0.7252,1.0674,0.8536,-0.0074,0.7252
50,M25_n_RHmin_u,n + RHmin + u,3,189,0.7217,1.0746,0.8673,-0.0083,0.7217,0.7142,1.0799,0.8783,-0.0073,0.7142,0.7225,1.0727,0.8707,0.0224,0.7225
51,M35_RHmax_RHmin_u,RHmax + RHmin + u,3,259,0.6985,1.1184,0.8902,0.039,0.6985,0.6965,1.1128,0.8849,0.021,0.6965,0.7034,1.1089,0.8852,0.048,0.7034
52,M14_RHmax_u,RHmax + u,2,172,0.6193,1.2568,0.9732,0.0188,0.6193,0.6407,1.2109,0.962,0.0108,0.6407,0.662,1.1838,0.9489,0.0091,0.662
53,M05_n_u,n + u,2,194,0.6408,1.2207,0.9868,-0.0297,0.6408,0.6295,1.2296,1.0005,-0.0295,0.6295,0.6495,1.2055,0.9838,0.012,0.6495
54,M12_Tmin_u,Tmin + u,2,223,0.6423,1.2183,0.9012,-0.0336,0.6423,0.6493,1.1964,0.8928,-0.028,0.6493,0.649,1.2063,0.9026,-0.0338,0.649
55,M13_RHmax_RHmin,RHmax + RHmin,2,228,0.6166,1.2613,1.0108,-0.0021,0.6166,0.6248,1.2374,0.9882,-0.0164,0.6248,0.6324,1.2345,0.9981,-0.0028,0.6324
56,M15_RHmin_u,RHmin + u,2,237,0.5275,1.4002,1.1603,0.0099,0.5275,0.5237,1.3942,1.1629,0.0036,0.5237,0.5302,1.3957,1.1729,0.031,0.5302
57,M04_n_RHmin,n + RHmin,2,237,0.4705,1.4822,1.1951,0.0002,0.4705,0.4539,1.4929,1.195,-0.0035,0.4539,0.4821,1.4654,1.1936,0.0229,0.4821
